Total Beers,=SUM(F5:F115),Total Unique Items,=COUNTA(A5:A115),,,,,,
Total Unique Filtered Items,=SUBTOTAL(103; A5:A115),Random Row #,=RANDBETWEEN(5;(D1+4)),,,,,,
Random Beer,=IF( AND(SUBTOTAL(103;INDIRECT("A" & D2))=1; EXACT(INDIRECT("G" & D2);"FALSE")); INDIRECT("A" & D2) & " - " & INDIRECT("B" & D2) & " (Row " & D2 & ")"; "Beer (" & INDIRECT("A" & D2) & " - " & INDIRECT("B" & D2) & " (Row " & D2 & ")" & ") Marked as Excluded - Recalculate" ),,,,,Recalculate,TRUE,,
Brewery,Beer,Style,ABV,Added Date,Qty.,Exclude,Votes,Style Guide,Notes
Allagash Brewing Company,"Once Upon An Orchard: Cherries, Plums, And Raspberries",Wild Ale - American,7.2,2025-04-11 15:18:34,1,FALSE,,,
Allagash Brewing Company,Allagash White,Wheat Beer - Witbier / Blanche,5.2,2025-04-17 13:27:10,3,FALSE,,,
Amundsen Brewery,Dessert In A Can - Neapolitan Ice Cream,Stout - Imperial / Double Pastry,10.5,2024-10-19 9:26:15,1,FALSE,,,
Amundsen Brewery,Barrel Aged Sticky Little Fingers,Stout - Imperial / Double Pastry,13,2024-12-05 18:28:14,1,FALSE,,,
Ängöl,Bärs,Kellerbier / Zwickelbier,5.9,2025-02-19 15:58:01,1,FALSE,,,
Anspach & Hobday,London Black,Porter - English,4.4,2025-04-11 15:20:16,1,FALSE,,,
Augustiner-Bräu München,Lagerbier Hell,Lager - Helles,5.2,2025-05-17 12:42:44,1,TRUE,,BJCP: 4A. Munich Helles,Beer expert blind tests classic Munich Helles (12:15)
Basqueland Brewing,Boyicao,Stout - Imperial / Double Pastry,12.5,2024-09-08 13:05:11,1,FALSE,,,
Bayerische Staatsbrauerei Weihenstephan,Weihenstephaner Helles,Lager - Helles,4.8,2025-05-17 12:43:09,1,TRUE,,,Beer expert blind tests classic Munich Helles (BONUS)
Bayerische Staatsbrauerei Weihenstephan,Weihenstephaner Hefeweissbier,Wheat Beer - Hefeweizen,5.4,2025-05-17 12:43:44,1,FALSE,,,
Bayreuther Bierbrauerei,Bayreuther Hell,Lager - Helles,4.9,2025-05-17 12:44:37,1,FALSE,,,Beer expert blind tests classic Munich Helles (BONUS)
Beerium,Bambelino,Lager - Smoked,5.5,2024-10-19 8:52:59,1,FALSE,,,
Berliner-Kindl-Schultheiss-Brauerei,Berliner Kindl Jubiläums Pilsener,Pilsner - German,5.1,2025-05-17 12:44:27,1,TRUE,,,Beer expert blind tests classic Munich Helles (BONUS)
Bières de Chimay,Chimay 150 (Green),Belgian Strong Golden Ale,10,2025-04-08 18:12:06,1,FALSE,,,
Birrificio Italiano,Tipopils,Pilsner - Italian,5.2,2025-04-08 17:37:37,1,FALSE,,,
Bottenvikens,Oberoende glödkolsmäskad Lager,Lager - Smoked,5.2,2024-10-19 8:52:45,1,FALSE,,,
Brasserie Dupont,Saison Dupont Dry Hop,Farmhouse Ale - Saison,6.5,2025-05-07 15:57:20,2,FALSE,,,
Brauerei Knoblach Schammelsdorf,Schammelsdorfer Rauchsüdla,Rauchbier,5.1,2025-04-08 17:38:50,1,FALSE,,,
Brekeriet,Tau,Sour - Other,7.7,2024-12-20 20:04:30,1,FALSE,,,
Brekeriet,Blomster,Wild Ale - Other,5.8,2024-12-21 12:58:20,1,FALSE,,,
Brekeriet,Theta,Wild Ale - Other,5.6,2025-04-17 13:27:26,1,FALSE,,,
