item_id,beer_name,brewery_name,beer_type,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,created_at,notes,quantity,container,purchase_date,bottled_date,best_by_date,best_by_date_iso,purchase_location,purchase_price,photo
487,"Westmalle Trappist Tripel","Brouwerij der Trappisten van Westmalle","Belgian Tripel",9.5,40,,,,,,,"2025-04-08 17:53:02",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4009,"Oude Geuze","Brouwerij 3 Fonteinen","Lambic - Gueuze",6,0,,,,,,,"2024-09-08 14:08:33","No. 51 22/24",2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4473,"Guinness Draught",Guinness,"Stout - Irish Dry",4.2,45,,,,,,,"2024-10-19 08:48:13",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4509,IPA,"Lagunitas Brewing Company","IPA - American",6.2,51,,,,,,,"2025-04-17 12:00:45",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4700,Wit,"Brouwerij St.Bernardus","Wheat Beer - Witbier / Blanche",5.5,15,,,,,,,"2025-04-08 18:10:56",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5455,ESB,"Fuller's Griffin Brewery","Bitter - Extra Special / Strong (ESB)",5.5,35,,,,,,,"2025-04-17 11:59:55",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5862,"Allagash White","Allagash Brewing Company","Wheat Beer - Witbier / Blanche",5.2,13,,,,,,,"2025-04-17 13:27:10",,3,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6760,"Abt 12","Brouwerij St.Bernardus","Belgian Quadrupel",10,20,,,,,,,"2024-12-06 17:42:51",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
8745,"Weihenstephaner Hefeweissbier","Bayerische Staatsbrauerei Weihenstephan","Wheat Beer - Hefeweizen",5.4,14,,,,,,,"2025-05-17 12:43:44",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
9254,"Lagerbier Hell","Augustiner-Bräu München","Lager - Helles",5.2,12,,,,,,,"2025-05-17 12:42:44",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
10052,"Aecht Schlenkerla Rauchbier – Urbock","Schlenkerla (""Heller-Bräu"" Trum)",Rauchbier,6.5,40,,,,,,,"2024-12-06 17:52:29",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
10703,"Premium Pilsener / German Pilsener",Warsteiner,"Pilsner - German",4.8,28,,,,,,,"2025-05-17 12:44:55",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
11831,"Aecht Schlenkerla Fastenbier – Lentbeer","Schlenkerla (""Heller-Bräu"" Trum)",Rauchbier,5.9,35,,,,,,,"2025-03-22 10:45:13",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
13776,Tipopils,"Birrificio Italiano","Pilsner - Italian",5.2,25,,,,,,,"2025-04-08 17:37:37",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
15677,"Paulaner Hefe-Weißbier / Hefe-Weizen / Weissbier","Paulaner Brauerei","Wheat Beer - Hefeweizen",5.5,16,,,,,,,"2025-05-17 12:42:56",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
16238,"Münchner Hell",Hacker-Pschorr,"Lager - Helles",5,6,,,,,,,"2025-05-17 12:42:28",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
